,zone_name,zone_id,zone_coords,zone_nightlife_count,zone_restaurant_count,zone_cultural_count,zone_lodging_count
0,Vila Real,1019574,"41.298740, -7.744780",56,106,138,30
1,Aljezur,1021467,"37.317020, -8.803500",7,50,69,36
2,Almada,1022768,"38.677820, -9.158320",63,53,115,75
3,Penafiel,1028272,"41.208920, -8.282870",46,97,130,55
4,Peso da Régua,1028273,"41.160970, -7.787040",19,55,123,38
5,Fronteira,1053433,"39.056360, -7.644880",3,22,72,4
6,Oliveira do Bairro,1062085,"40.517520, -8.493570",25,135,106,17
7,Maia,1066093,"41.235840, -8.619950",46,152,134,50
8,Mértola,1068892,"37.641270, -7.661870",4,39,84,20
9,Amadora,1132025,"38.756920, -9.239670",67,179,132,83
10,Alter do Chão,1137876,"39.197540, -7.684460",2,2,76,3
11,Trofa,1154790,"41.338250, -8.573090",30,167,97,33
12,Oeiras,1154791,"38.691710, -9.310940",66,185,149,137
13,Montemor-o-Novo,1169699,"38.648060, -8.212680",9,43,91,15
14,Crato,1171212,"39.288320, -7.641090",2,23,70,12
15,Vila do Bispo,1172110,"37.084790, -8.908770",2,27,68,24
16,Armamar,1178663,"41.105670, -7.691760",3,50,104,33
17,Chamusca,11797502,"39.357950, -8.476290",10,60,79,31
18,Sousel,1190864,"38.962290, -7.687730",0,2,71,2
19,Odemira,1190866,"37.597850, -8.643580",5,26,68,11
20,Portel,1190867,"38.302390, -7.713160",3,39,80,17
21,São Brás de Alportel,1190874,"37.152070, -7.885380",18,54,94,29
22,Oliveira de Frades,1190895,"40.725550, -8.186600",11,50,101,26
23,Condeixa-a-Nova,1190898,"40.124060, -8.498170",17,123,119,51
24,Penacova,1190899,"40.267230, -8.267060",7,26,86,30
25,Murtosa,1190900,"40.754540, -8.637620",8,70,90,13
26,Penedono,1190902,"40.988400, -7.374470",4,25,81,8
27,Mira,1190903,"40.428510, -8.739720",10,115,82,10
28,Alvito,1190911,"38.262100, -7.992930",0,23,81,7
29,Rio Maior,1190913,"39.337230, -8.932260",21,62,87,16
30,Alijó,1190965,"41.276700, -7.474480",11,23,89,15
31,Amares,1190966,"41.631620, -8.355230",27,73,122,71
32,Cabeceiras de Basto,1190968,"41.514260, -7.987600",10,44,105,17
33,Celorico de Basto,1190971,"41.387280, -8.001230",12,103,109,54
34,Mesão Frio,1190974,"41.145120, -7.858470",5,58,111,52
35,Vila Nova de Cerveira,1190976,"41.941570, -8.742100",25,151,124,78
36,Montemor-o-Velho,1202083,"40.173260, -8.685480",16,174,99,13
37,Castelo de Paiva,1203066,"41.060520, -8.274080",21,132,117,56
38,Lagoa,1219346,"37.136990, -8.454420",63,61,96,94
39,Góis,1237123,"40.142760, -8.106570",5,5,78,24
40,Murça,1371537,"41.422680, -7.450190",4,13,88,2
41,Vila Nova de Foz Côa,1379167,"41.083320, -7.150680",9,36,76,24
42,Seixal,14064423,"38.640520, -9.103760",37,138,82,43
43,Constância,1408044,"39.473240, -8.333230",6,28,85,19
44,Mondim de Basto,1438510,"41.408260, -7.957280",12,51,109,35
45,Viana do Alentejo,1441318,"38.332080, -8.003280",2,40,69,5
46,Castro Daire,1444479,"40.895300, -7.932500",11,46,99,24
47,Santa Comba Dão,1444586,"40.398620, -8.131700",7,53,98,16
48,Sobral de Monte Agraço,1455326,"39.005170, -9.160590",8,83,104,21
49,Mogadouro,1458520,"41.338800, -6.711100",8,61,80,14
50,São Pedro do Sul,1466995,"40.753240, -8.086780",13,43,103,32
51,Santo Tirso,1466996,"41.342390, -8.479080",21,168,125,43
52,Moimenta da Beira,1534194,"40.983200, -7.618580",8,59,92,8
53,Entroncamento,1598489,"39.463520, -8.467830",18,72,102,20
54,Ovar,1600882,"40.863990, -8.628460",29,116,100,54
55,Baião,1719238,"41.161740, -8.030180",13,56,92,19
56,Cantanhede,1719246,"40.346840, -8.593060",7,41,99,22
57,Lousa,1769086,"40.116720, -8.246450",24,105,106,49
58,Avis,1793622,"39.050240, -7.892360",3,35,68,10
59,Freixo de Espada à Cinta,1799651,"41.090770, -6.811460",3,40,72,6
60,Moita,1808485,"38.654040, -8.990630",41,173,110,12
61,Benavente,1811816,"38.979550, -8.807390",8,47,73,13
62,Vila Franca de Xira,1826007,"38.955220, -8.989390",24,48,119,24
63,Beja,189102,"38.015970, -7.863230",24,52,109,20
64,Campo Maior,189103,"39.014270, -7.064370",15,41,85,7
65,Elvas,189104,"38.881520, -7.162780",62,79,107,24
66,Estremoz,189105,"38.842610, -7.586570",10,47,93,25
67,Évora,189106,"38.571570, -7.910280",46,86,147,39
68,Marvão,189107,"39.392570, -7.376080",4,70,80,29
69,Portalegre,189108,"39.293080, -7.428290",27,58,93,48
70,Serpa,189109,"37.945870, -7.596240",10,43,83,22
71,Sines,189110,"37.956840, -8.868880",23,78,79,35
72,Albufeira,189112,"37.089390, -8.250680",91,133,102,109
73,Lagos,189117,"37.102840, -8.674290",65,122,121,92
74,Loulé,189118,"37.137620, -8.019800",39,67,100,37
75,Monchique,189119,"37.317950, -8.555870",11,40,74,21
76,Portimão,189120,"37.138580, -8.537940",75,41,140,43
77,Silves,189122,"37.188620, -8.438530",26,80,78,56
78,Anadia,189139,"40.441090, -8.433520",19,28,109,12
79,Aveiro,189140,"40.641180, -8.653620",62,166,165,55
80,Castelo Branco,189142,"39.822190, -7.490870",53,60,108,26
